t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.07152533,0.10508273
0.25000000,0.05000686,0.00740722,0.04132881,-0.04497115
0.25000000,0.05000686,0.00740722,0.04727916,-0.01330862
0.25000000,0.05000686,0.00740722,0.05253683,0.01378066
0.25000000,0.05000686,0.00740722,0.06281170,0.06441674
0.25000000,0.05000686,0.00740722,0.04269699,-0.03759460
0.25000000,0.05000686,0.00740722,0.04819003,-0.00855668
0.25000000,0.05000686,0.00740722,0.05576477,0.03001118
0.25000000,0.05000686,0.00740722,0.05322727,0.01727758
0.25000000,0.05000686,0.00740722,0.04722059,-0.01361502
0.25000000,0.05000686,0.00740722,0.04901560,-0.00427120
0.25000000,0.05000686,0.00740722,0.03982270,-0.05315875
0.25000000,0.05000686,0.00740722,0.04824265,-0.00828292
0.25000000,0.05000686,0.00740722,0.04803367,-0.00937064
0.25000000,0.05000686,0.00740722,0.05172659,0.00965917
0.25000000,0.05000686,0.00740722,0.04589343,-0.02058573
0.25000000,0.05000686,0.00740722,0.05349965,0.01865334
0.25000000,0.05000686,0.00740722,0.05750827,0.03865346
0.25000000,0.05000686,0.00740722,0.05115816,0.00675624
0.25000000,0.05000686,0.00740722,0.05261239,0.01416403
0.25000000,0.05000686,0.00740722,0.05040059,0.00287265
0.25000000,0.05000686,0.00740722,0.05000748,0.00085075
0.25000000,0.05000686,0.00740722,0.04466212,-0.02710075
0.25000000,0.05000686,0.00740722,0.05235120,0.01283808
0.25000000,0.05000686,0.00740722,0.04928623,-0.00287079
0.25000000,0.05000686,0.00740722,0.06551141,0.07723378
0.25000000,0.05000686,0.00740722,0.06166104,0.05889338
0.25000000,0.05000686,0.00740722,0.05286491,0.01544403
0.25000000,0.05000686,0.00740722,0.04435473,-0.02873443
0.25000000,0.05000686,0.00740722,0.04176698,-0.04260240
0.25000000,0.05000686,0.00740722,0.05882992,0.04514732
0.25000000,0.05000686,0.00740722,0.05195310,0.01081329
0.25000000,0.05000686,0.00740722,0.05356339,0.01897497
